Selection and PL reported in the same study,Author(s) of Selection study,Publication year,Journal,volume.and.pp,Family,Species,Trait type,Trait name in study,N.Diff.linear.value,Diff.linear.value,N.Grad.linear,Grad.linear.value,Author(s) of pollen limitation study,Publication year,Journal,volume.and.pp,Best PL,Statistically significant PL
Yes,Totland,2001,Ecology,82:2233-2272,Ranunculaceae,Ranunculus acris,flower number,flower number,110,0.03,110,0.06,Totland,2001,Ecology,82:2233-2272,-0.019607843,no
Yes,Totland,2001,Ecology,82:2233-2274,Ranunculaceae,Ranunculus acris,floral size,corolla diameter,110,0.25,110,0.22,Totland,2001,Ecology,82:2233-2274,-0.019607843,no
Yes,Totland,2001,Ecology,82:2233-2277,Ranunculaceae,Ranunculus acris,vegetative tissue area,number of stem leaves,110,-0.05,110,-0.03,Totland,2001,Ecology,82:2233-2277,-0.019607843,no
Yes,"Totland,  Andersen,  Bjelland,  Dahl, Eide,  Houge, Pedersen, Viel",1998,Oikos,82:491-501,Iridaceae,Crocus vernus,floral size,petal size,123,0.194,123,0.122,"Totland,  Andersen,  Bjelland,  Dahl, Eide,  Houge, Pedersen, Viel",1998,Oikos,82:491-501,0.211970251,yes
Yes,"Totland,  Andersen,  Bjelland,  Dahl, Eide,  Houge, Pedersen, Viel",1998,Oikos,82:491-501,Iridaceae,Crocus vernus,vegetative tissue area,leaf weight,123,0.179,123,0.038,"Totland,  Andersen,  Bjelland,  Dahl, Eide,  Houge, Pedersen, Viel",1998,Oikos,82:491-501,0.211970251,yes
Yes,Widen,1991,Oikos,61:205-215,Asteraceae,Senecio integrifolius,phenology,phenological rank order of individual,49,-0.068,49,-0.012,Widen,1991,Oikos,61:205-215,0.34,yes
Yes,Andersson,1996,Heredity,77:217-223,Saxifragaceae,Saxifraga granulata,flower number,flower number,530,0.35,530,0.02,Andersson,1996,Heredity,77:217-223,0.55,yes
Yes,Andersson,1996,Heredity,77:217-224,Saxifragaceae,Saxifraga granulata,phenology,flowering date,530,-0.46,530,-0.41,Andersson,1996,Heredity,77:217-224,0.55,yes
Yes,Andersson,1996,Heredity,77:217-225,Saxifragaceae,Saxifraga granulata,plant size,plant height,530,0.32,530,0.2,Andersson,1996,Heredity,77:217-225,0.55,yes
Yes,Andersson,1996,Heredity,77:217-226,Saxifragaceae,Saxifraga granulata,floral size,style length,530,0.04,530,-0.07,Andersson,1996,Heredity,77:217-226,0.55,yes
